,id,alias,name,is_closed,phone,address1,address2,address3,city,zip_code,country,state,display_address,latitude,longitude
0,oiotzcCO0paoWK8PmCkVxw,bars;soulfood,Grandma's In Da Kitchen,False,+14253490164,2831 W Marine View Dr,,,Everett,98201,US,WA,"['2831 W Marine View Dr', 'Everett, WA 98201']",47.979564,-122.213904
1,9cZdeGxOLR94ujvuaSqHTA,irish;breakfast_brunch;irish_pubs,Shawn O'Donnell's American Grill & Irish Pub,False,+14253385700,122 - 128th St SE,,,Everett,98208,US,WA,"['122 - 128th St SE', 'Everett, WA 98208']",47.8813323974609,-122.230010986328
2,NmKWxmFT6XU9cu4BQa_hEg,beerbar;cideries;russian,The Independent Beer Bar,False,+14252129517,1801 Hewitt Ave,,,Everett,98201,US,WA,"['1801 Hewitt Ave', 'Everett, WA 98201']",47.9793822537229,-122.205651588361
3,6ubFqBcbq0rH_Geg-V2n-g,cocktailbars;ramen,Botan Ramen n’ Bar,False,+14255954940,2803 Colby Ave,,,Everett,98201,US,WA,"['2803 Colby Ave', 'Everett, WA 98201']",47.98041,-122.20821
4,A9ijf_0bazef9XaVhBMmJg,distilleries;cocktailbars;newamerican,Bluewater Distilling,False,+14254041408,1205 Craftsman Way,Ste 109,,Everett,98201,US,WA,"['1205 Craftsman Way', 'Ste 109', 'Everett, WA 98201']",48.001933102755,-122.217657669958
5,sHVbsa7wUeMhNSNxRiFT4A,bars;pizza;italian,Chianti Italian Restaurant,False,+14255955147,1712 Hewitt Ave,,,Everett,98201,US,WA,"['1712 Hewitt Ave', 'Everett, WA 98201']",47.97895,-122.20641
6,rOCQWeUONgtGPI_aVTAHfw,pubs;breweries,Middleton Brewing,False,+14252809178,607 SE Everett Mall Way,Ste 27-A,,Everett,98208,US,WA,"['607 SE Everett Mall Way', 'Ste 27-A', 'Everett, WA 98208']",47.910663,-122.22479
7,vCaVYIeSL5kmpAXcWs696A,coffee;tapasmallplates;wine_bars,Bean & Vine,False,+14252639495,1717 Hewitt Ave,,,Everett,98201,US,WA,"['1717 Hewitt Ave', 'Everett, WA 98201']",47.9794414902478,-122.206213697791
8,jDm6TcO3JqLodQcIHwUPKw,irish_pubs;tradamerican,The Irishmen,False,+14253745783,2923 Colby Ave,,,Everett,98201,US,WA,"['2923 Colby Ave', 'Everett, WA 98201']",47.978561,-122.208398
9,wt6SQ9unJY_vfEIFaRKkrA,tradamerican;pubs,AFK Tavern,False,+14252590525,1510 41st St,,,Everett,98203,US,WA,"['1510 41st St', 'Everett, WA 98203']",47.96299,-122.20893
10,Lgr5FfvzoD45Pp0Kh4EfRA,chicken_wings;beerbar,That Chicken Place,False,+14253490253,1907 Hewitt Ave,Ste A,,Everett,98201,US,WA,"['1907 Hewitt Ave', 'Ste A', 'Everett, WA 98201']",47.97951,-122.20393
11,MqU8DUHEfCQVWyrwWdxijA,seafood;lounges,Ivar's Mukilteo Landing,False,+14257426180,710 Front St,,,Mukilteo,98275,US,WA,"['710 Front St', 'Mukilteo, WA 98275']",47.94906,-122.30388
