,id,alias,name,is_closed,phone,address1,address2,address3,city,zip_code,country,state,display_address,latitude,longitude
0,o6NdncTT1i33x1e-gf6NIA,retirement_homes,Wynwood of Columbia Edgewater,False,+15099464600,1629 George Washington Way,,,Richland,99354,US,WA,"['1629 George Washington Way', 'Richland, WA 99354']",46.29651,-119.27562
1,DVviphFeWFFSlQcLPYOHYQ,retirement_homes,Emeritus at Richland Gardens,False,+15093022209,770 W Gage Blvd,,,Richland,99352,US,WA,"['770 W Gage Blvd', 'Richland, WA 99352']",46.227867,-119.270256
2,hjkwyk2rgzDVvfWvMyG5VA,hospice;retirement_homes,Moses Lake,False,+15093022210,8425 Aspi Blvd. NE,,,Moses Lake,98837,US,WA,"['8425 Aspi Blvd. NE', 'Moses Lake, WA 98837']",47.1621602414933,-119.309808358896
3,HN7mkytRLtYKPLecVjSJAw,retirement_homes,Hawthorne Court,False,+15097838313,524 N Ely St,,,Kennewick,99336,US,WA,"['524 N Ely St', 'Kennewick, WA 99336']",46.215603,-119.157643
4,bSj0OGyaP3cpGeu7tHmYEQ,retirement_homes,Solstice Senior Living at Kennewick,False,+15097344331,8264 W Grandridge Blvd,,,Kennewick,99336,US,WA,"['8264 W Grandridge Blvd', 'Kennewick, WA 99336']",46.222344,-119.234487
5,LYb2MJlYskFB___801FoLw,retirement_homes;assistedliving;memorycare,Bonaventure of Tri-Cities,False,+15095420905,1800 Bellerive Dr,,,Richland,99352,US,WA,"['1800 Bellerive Dr', 'Richland, WA 99352']",46.22846,-119.24992
6,it7q7L9fG_m8qQ-wc-bWDA,retirement_homes,From The Heart,False,+15095421733,4408 Artesia Dr,,,Pasco,99301,US,WA,"['4408 Artesia Dr', 'Pasco, WA 99301']",46.273766,-119.148422
7,G1yqZE5bQOu_2oEVkMN_9Q,retirement_homes;assistedliving;memorycare,Royal Columbian Retirement Inn,False,+15095919974,5615 W Umatilla Ave,,,Kennewick,99336,US,WA,"['5615 W Umatilla Ave', 'Kennewick, WA 99336']",46.2263,-119.19754
8,NSBMOAiOr_K5k38hr25JxQ,retirement_homes,Fieldstone Memory Care,False,+15094913945,575 N Young St,,,Kennewick,99336,US,WA,"['575 N Young St', 'Kennewick, WA 99336']",46.2151567,-119.2187949
9,o6NdncTT1i33x1e-gf6NIA,retirement_homes,Wynwood of Columbia Edgewater,False,+15099464600,1629 George Washington Way,,,Richland,99354,US,WA,"['1629 George Washington Way', 'Richland, WA 99354']",46.29651,-119.27562
10,DVviphFeWFFSlQcLPYOHYQ,retirement_homes,Emeritus at Richland Gardens,False,+15093022209,770 W Gage Blvd,,,Richland,99352,US,WA,"['770 W Gage Blvd', 'Richland, WA 99352']",46.227867,-119.270256
11,kSV1PCtlhma6g1FaUDu6PQ,retirement_homes;assistedliving,Parkview Estates,False,+15097349773,7820 W Sixth Ave,,,Kennewick,99336,US,WA,"['7820 W Sixth Ave', 'Kennewick, WA 99336']",46.204209,-119.225736
12,bSj0OGyaP3cpGeu7tHmYEQ,retirement_homes,Solstice Senior Living at Kennewick,False,+15097344331,8264 W Grandridge Blvd,,,Kennewick,99336,US,WA,"['8264 W Grandridge Blvd', 'Kennewick, WA 99336']",46.222344,-119.234487
13,HN7mkytRLtYKPLecVjSJAw,retirement_homes,Hawthorne Court,False,+15097838313,524 N Ely St,,,Kennewick,99336,US,WA,"['524 N Ely St', 'Kennewick, WA 99336']",46.215603,-119.157643
14,LYb2MJlYskFB___801FoLw,retirement_homes;assistedliving;memorycare,Bonaventure of Tri-Cities,False,+15095420905,1800 Bellerive Dr,,,Richland,99352,US,WA,"['1800 Bellerive Dr', 'Richland, WA 99352']",46.22846,-119.24992
15,NSBMOAiOr_K5k38hr25JxQ,retirement_homes,Fieldstone Memory Care,False,+15094913945,575 N Young St,,,Kennewick,99336,US,WA,"['575 N Young St', 'Kennewick, WA 99336']",46.2151567,-119.2187949
16,G1yqZE5bQOu_2oEVkMN_9Q,retirement_homes;assistedliving;memorycare,Royal Columbian Retirement Inn,False,+15095919974,5615 W Umatilla Ave,,,Kennewick,99336,US,WA,"['5615 W Umatilla Ave', 'Kennewick, WA 99336']",46.2263,-119.19754
17,it7q7L9fG_m8qQ-wc-bWDA,retirement_homes,From The Heart,False,+15095421733,4408 Artesia Dr,,,Pasco,99301,US,WA,"['4408 Artesia Dr', 'Pasco, WA 99301']",46.273766,-119.148422
18,T1pNEt5dv8PyqBFj1XsD1g,retirement_homes,Mountain Glen Retirement Community,False,+13604247900,1810 E Division St,,,Mt. Vernon,98274,US,WA,"['1810 E Division St', 'Mt. Vernon, WA 98274']",48.42029,-122.31737
19,Uvtq0sdFFjp6pXmAq94IXA,physicaltherapy;hospice;retirement_homes,Mira Vista Care Center,False,+13604241320,300 S 18th St,,,Mount Vernon,98274,US,WA,"['300 S 18th St', 'Mount Vernon, WA 98274']",48.419116973877,-122.317611694336
20,Lts1KIUlD1aR34_9fTAfww,retirement_homes;apartments,Vintage At Mount Vernon,False,+13608488533,1000 Vintage Ln,,,Mount Vernon,98273,US,WA,"['1000 Vintage Ln', 'Mount Vernon, WA 98273']",48.4398460388184,-122.328025817871
21,DYfKuq4xviVACJ4SEHOX0A,retirement_homes,Josephine Sunset Home,False,+13606299505,9901 272nd Pl NW,,,Stanwood,98292,US,WA,"['9901 272nd Pl NW', 'Stanwood, WA 98292']",48.2444114685059,-122.367294311523
22,ZbF-cVZa2G6e-r0aPjcvww,retirement_homes;assistedliving;memorycare,Cascade Valley Senior Living,False,+13604366829,8400 207th Pl NE,,,Arlington,98223,US,WA,"['8400 207th Pl NE', 'Arlington, WA 98223']",48.1835499,-122.11745
23,2xp1fji-hW9Mp0a0lKC2fg,hospice;retirement_homes,Stanwood,False,+13606293445,7212 265th St NW,,,Stanwood,98292,US,WA,"['7212 265th St NW', 'Stanwood, WA 98292']",48.2368774,-122.3306885
24,rLQRkCFXd0Ya9ccfR_RRsw,retirement_homes,Creekside Continuing Care Community,False,+13607555550,400 Gilkey Rd,,,Burlington,98233,US,WA,"['400 Gilkey Rd', 'Burlington, WA 98233']",48.46393,-122.32893
25,85X6VmoUyJPsVoCLeZzKQQ,retirement_homes,Birchview Memory Care,False,+13604194077,925 Dunlop Ave,,,Sedro Woolley,98284,US,WA,"['925 Dunlop Ave', 'Sedro Woolley, WA 98284']",48.4931859,-122.2248815
26,Es0sFjuH9OZkJ6Pa8sp65w,retirement_homes,Leeside Manor,False,+13604038195,22803 19th Dr NE,,,Arlington,98223,US,WA,"['22803 19th Dr NE', 'Arlington, WA 98223']",48.2027587890625,-122.200904846191
27,bJWKOatUHEruA48QoduopA,retirement_homes,Regency Care Center,False,+13602550939,620 Hazel St,,,Arlington,98223,US,WA,"['620 Hazel St', 'Arlington, WA 98223']",48.1983321,-122.1295688
28,8FyycYKNgGqgwVpZj6Lf6g,retirement_homes;assistedliving,Olympic Place by Bonaventure,False,+13603224105,20909 Olympic Pl,,,Arlington,98223,US,WA,"['20909 Olympic Pl', 'Arlington, WA 98223']",48.18583,-122.12532
29,jUzpQIMPgdqRwrDu_mpsvg,retirement_homes,Revel Lacey,False,+13602262763,211 Hoh St SE,,,Lacey,98516,US,WA,"['211 Hoh St SE', 'Lacey, WA 98516']",47.05737,-122.75527
30,f5P0fFeRt5_1hXbPLMnodw,retirement_homes;nonprofit,Panorama,False,+13604560111,1751 Circle Ln SE,,,Lacey,98503,US,WA,"['1751 Circle Ln SE', 'Lacey, WA 98503']",47.031094,-122.831916
31,pBTCB-H3KVls-evYe29XCg,rehabilitation_center;retirement_homes,Olympia Transitional Care and Rehabilitation,False,+13604919700,430 Lilly Rd NE,,,Olympia,98506,US,WA,"['430 Lilly Rd NE', 'Olympia, WA 98506']",47.05314,-122.84175
32,WLW9tzSjhVWu4Vq0v36ebA,retirement_homes,Capital Place,False,+13607630937,700 Black Lake Blvd SW,,,Olympia,98502,US,WA,"['700 Black Lake Blvd SW', 'Olympia, WA 98502']",47.041329,-122.929146
33,4DH06IG5POUdwND23WOjig,retirement_homes,Stillwaters Colonial Residence,False,+13607361551,2700 Colonial Dr,,,Centralia,98531,US,WA,"['2700 Colonial Dr', 'Centralia, WA 98531']",46.7102966308594,-122.998634338379
34,E7LihX8oucEmPpuXfPUR_A,retirement_homes,Kensington Gardens,False,+12538587588,3804 Olson Dr NW,,,Gig Harbor,98335,US,WA,"['3804 Olson Dr NW', 'Gig Harbor, WA 98335']",47.292817,-122.596704
35,Bf8y25pG0ebo5mtvQ-jcnA,rehabilitation_center;retirement_homes,ManorCare Health Services-Tacoma,False,+12534748421,5601 S Orchard St,,,Tacoma,98409,US,WA,"['5601 S Orchard St', 'Tacoma, WA 98409']",47.20566,-122.504
36,yaxZka4fJxSBt_RrQn6X_g,retirement_homes,Brooks Blessings - West Olympia,False,+13607904779,1627 12th Ave SW,,,Olympia,98502,US,WA,"['1627 12th Ave SW', 'Olympia, WA 98502']",47.03684,-122.92283
37,47BONkTfPYHk4tAlt9KOAg,retirement_homes;skillednursing,Regency Olympia Rehabilitation and Nursing Center,False,+13609430910,1811 22nd Ave SE,,,Olympia,98501,US,WA,"['1811 22nd Ave SE', 'Olympia, WA 98501']",47.028903,-122.876052
38,PlvHjEkDq0oSZR8ssS9olg,retirement_homes,Prestige Care,False,+13607369384,917 S Scheuber Rd,,,Centralia,98531,US,WA,"['917 S Scheuber Rd', 'Centralia, WA 98531']",46.71148,-122.98833
39,xrdY_S5GhmveX89l6X2xVw,retirement_homes,Harbor Place At Cottesmore,False,+12538533354,1016 29th St NW,,,Gig Harbor,98335,US,WA,"['1016 29th St NW', 'Gig Harbor, WA 98335']",47.284952720011,-122.55473275322
40,tUBIOyYejlFJmOlUcC7YRw,retirement_homes;rehabilitation_center,Fir Lane Health & Rehabilitation Center,False,+13604261651,2430 N 13th St,,,Shelton,98584,US,WA,"['2430 N 13th St', 'Shelton, WA 98584']",47.23072,-123.11084
41,mncRY_oYpszoP1r4fkJHXQ,retirement_homes,Olympic Alzheimer's Residence,False,+12538515306,3025 14th Ave NW,,,Gig Harbor,98335,US,WA,"['3025 14th Ave NW', 'Gig Harbor, WA 98335']",47.286052,-122.556687
42,U1OpG5gHDk9_YyFjpgjA1g,assistedliving;eldercareplanning;retirement_homes,Artisan Place,False,+13603104146,828 McPhee Rd SW,,,Olympia,98502,US,WA,"['828 McPhee Rd SW', 'Olympia, WA 98502']",47.04013,-122.95233
43,8hYiU2iNBUmcOG-fRWxSdg,retirement_homes;assistedliving;memorycare,Meridian at Stone Creek,False,+12532143078,1111 S 376th St,,,Milton,98354,US,WA,"['1111 S 376th St', 'Milton, WA 98354']",47.26449,-122.32031
44,iWyNk24vuQlaBjkJkxlbbg,retirement_homes,Tacoma Lutheran Retirement Community,False,+12537527112,1301 N Highlands Pkwy,,,Tacoma,98406,US,WA,"['1301 N Highlands Pkwy', 'Tacoma, WA 98406']",47.263166,-122.520791
